verse	tag	category	baseStart	baseEnd	ocrStart	ocrEnd	base	hamiltonOcr	baseContext
1	delete	not-seen-in-hamilton-ocr	0	63	0	0	安立大乘三界唯識以契經說三界唯心心意識了名之差別此中說心意兼心所唯遮外境不遣相應內識生時似外境現如有眩瞖見髮蠅等此中都無少分實		安立大乘三界唯識以契經說三界唯心心意識了名之差別此中說心意兼心所唯遮外境不遣相應內識生時似外境現如有眩瞖見髮蠅等此中都無少分實義即於此義有設難言頌曰
1	delete	not-seen-in-hamilton-ocr	64	74	1	1	即於此義有設難言頌曰		見髮蠅等此中都無少分實義即於此義有設難言頌曰
2	delete	not-seen-in-hamilton-ocr	0	25	1	1	若識無實境則處時決定相續不決定作用不應成一處決定難		若識無實境則處時決定相續不決定作用不應成一處決定難若離識實有色等外法色等識
2	insert	extra-in-hamilton-ocr	45	45	21	86		於此義有難言頌曰若識無實境即處時決定和續不決定作用不應成論日此說何意心所遮外境不遣相應內識生時似外境現如眩翳見髮蠅此中都無少分實義	法色等識生不緣色等何因此識有處得生非一切處二時決
2	delete	not-seen-in-hamilton-ocr	54	59	95	95	二時決定難		何因此識有處得生非一切處二時決定難何故此處有時識起非一切時
2	delete	not-seen-in-hamilton-ocr	71	78	107	107	三相續不決定難		何故此處有時識起非一切時三相續不決定難同一處時有多相續何不決定
2	replace	possible-single-character-variant	96	97	125	126	瞖	翳	相續何不決定隨一識生如眩瞖人見髮蠅等非無眩瞖有此識
2	replace	possible-single-character-variant	105	106	134	135	瞖	翳	生如眩瞖人見髮蠅等非無眩瞖有此識生四作用不成難復有
2	delete	not-seen-in-hamilton-ocr	110	116	139	139	四作用不成難		見髮蠅等非無眩瞖有此識生四作用不成難復有何因諸眩瞖者所見髮等
2	delete	not-seen-in-hamilton-ocr	120	121	143	143	諸		識生四作用不成難復有何因諸眩瞖者所見髮等無髮等用夢
2	replace	possible-single-character-variant	122	123	144	145	瞖	翳	四作用不成難復有何因諸眩瞖者所見髮等無髮等用夢中所
2	replace	possible-single-character-variant	139	140	161	162	杖	仗	等無髮等用夢中所得飲食刀杖毒藥衣等無飲等用尋香城等
2	delete	not-seen-in-hamilton-ocr	145	183	167	167	飲等用尋香城等無城等用餘髮等物其用非無若實同無色等外境唯有內識似外境生定處定		中所得飲食刀杖毒藥衣等無飲等用尋香城等無城等用餘髮等物其用非無若實同無色等外境唯有內識似外境生定處定時不定相續有作用物皆不應
2	delete	not-seen-in-hamilton-ocr	187	189	171	171	續有		識似外境生定處定時不定相續有作用物皆不應成非皆不成頌
2	delete	not-seen-in-hamilton-ocr	191	192	173	173	物		生定處定時不定相續有作用物皆不應成非皆不成頌曰
2	replace	possible-single-character-variant	201	202	182	183	曰	日	作用物皆不應成非皆不成頌曰
3	insert	extra-in-hamilton-ocr	15	15	198	233		飲等用尋香城等無城等用餘等物弸非無若實同無色等外境有內識似外境生定處定	如夢身不定如鬼同見膿河等如夢損有用論曰如夢意說如
3	replace	possible-single-character-variant	21	22	239	240	曰	日	鬼同見膿河等如夢損有用論曰如夢意說如夢所見謂如夢中
3	insert	extra-in-hamilton-ocr	30	30	248	290		謂如餓鬼同業異熟多身共集皆見膿河非於此中定唯一見等言顯示或見等及見有情執持刀仗遮捍守	有用論曰如夢意說如夢所見謂如夢中雖無實境而或有處
3	delete	not-seen-in-hamilton-ocr	86	87	346	346	說		離識實境而處時定非不得成說如鬼言顯如餓鬼河中膿滿故
3	delete	not-seen-in-hamilton-ocr	102	104	361	361	如說		顯如餓鬼河中膿滿故名膿河如說酥瓶其中酥滿謂如餓鬼同業
3	replace	review-required	110	111	367	380	謂	無離識實境而有虛妄作用義成	故名膿河如說酥瓶其中酥滿謂如餓鬼同業異熟多身共集皆
3	replace	review-required	112	130	381	388	餓鬼同業異熟多身共集皆見膿河非於此中	是依別別喩顯處	膿河如說酥瓶其中酥滿謂如餓鬼同業異熟多身共集皆見膿河非於此中定唯一見等言顯示或見糞等
3	delete	not-seen-in-hamilton-ocr	131	134	389	389	唯一見		身共集皆見膿河非於此中定唯一見等言顯示或見糞等及見有情
3	replace	review-required	135	153	390	394	言顯示或見糞等及見有情執持刀杖遮捍守	四義得成	見膿河非於此中定唯一見等言顯示或見糞等及見有情執持刀杖遮捍守護不令得食由此雖無離識實
3	delete	not-seen-in-hamilton-ocr	155	156	396	396	令		見有情執持刀杖遮捍守護不令得食由此雖無離識實境而多
3	delete	not-seen-in-hamilton-ocr	174	175	414	414	又		離識實境而多相續不定義成又如夢中境雖無實而有損失精
3	delete	not-seen-in-hamilton-ocr	193	222	432	432	無離識實境而有虛妄作用義成如是且依別別譬喻顯處定等四義得成		實而有損失精血等用由此雖無離識實境而有虛妄作用義成如是且依別別譬喻顯處定等四義得成復次頌曰
3	delete	not-seen-in-hamilton-ocr	223	224	433	433	次		別譬喻顯處定等四義得成復次頌曰
3	replace	possible-single-character-variant	225	226	434	435	曰	日	喻顯處定等四義得成復次頌曰
4	replace	review-required	12	13	447	449	逼	一過	一切如地獄同見獄卒等能為逼害事故四義皆成論曰應知此
4	replace	possible-single-character-variant	21	22	457	458	曰	日	等能為逼害事故四義皆成論曰應知此中一地獄喻顯處定等
4	replace	possible-single-character-variant	29	30	465	466	喻	喩	義皆成論曰應知此中一地獄喻顯處定等一切皆成如地獄言
4	replace	review-required	47	48	483	485	逼	一過	切皆成如地獄言顯在地獄受逼害苦諸有情類謂地獄中雖無
4	delete	not-seen-in-hamilton-ocr	50	51	487	487	諸		如地獄言顯在地獄受逼害苦諸有情類謂地獄中雖無真實有
4	delete	not-seen-in-hamilton-ocr	65	66	501	501	攝		類謂地獄中雖無真實有情數攝獄卒等事而彼有情同業異熟
4	delete	not-seen-in-hamilton-ocr	86	87	521	521	眾		同業異熟增上力故同處同時眾多相續皆共見有獄卒狗烏鐵
4	insert	extra-in-hamilton-ocr	100	100	534	535		等	相續皆共見有獄卒狗烏鐵山物等來至其所為逼害事由此
4	delete	not-seen-in-hamilton-ocr	101	102	536	536	等		續皆共見有獄卒狗烏鐵山物等來至其所為逼害事由此雖無
4	delete	not-seen-in-hamilton-ocr	106	107	540	540	為		獄卒狗烏鐵山物等來至其所為逼害事由此雖無離識實境而
4	insert	extra-in-hamilton-ocr	111	111	544	575		不受茹彼所受苦故相一過害應不可立彼捺落迦此獄卒等形量力等應不極	山物等來至其所為逼害事由此雖無離識實境而處定等四
4	delete	not-seen-in-hamilton-ocr	126	136	590	590	大眾部難獄卒何不許實		離識實境而處定等四義皆成大眾部難獄卒何不許實何緣不許獄卒等類是實有情
4	insert	extra-in-hamilton-ocr	148	148	602	606		不應理故	何緣不許獄卒等類是實有情且此不應那落迦攝獄卒不受
4	replace	possible-single-character-variant	152	153	610	611	那	捺	獄卒等類是實有情且此不應那落迦攝獄卒不受地獄苦不受
4	delete	not-seen-in-hamilton-ocr	156	158	614	614	獄卒		是實有情且此不應那落迦攝獄卒不受地獄苦不受如彼所受苦
